ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23058274;Defeito;Preparado;FG019 - Relacionamento, Conciliação e Conformidade;SIFAG - Finalizar demanda por reclassificação;SIFAG;Fundos de Governo;Sem Atuação da GEQTI;Q1;Samara Savia Queiros Teixeira;45769;;1
23058227;Defeito;Em Refinamento;CB005 - Cobrança Mobilidade;DEFEITO - Corrigir a contratação do serviço de cobrança pelo app e restabelecer a jornada por completo;SIECO;Cobrança e Operações Bancárias;Sem Atuação da GEQTI;Q1;Walter Tadashi Numoto;45769;;1
23058221;Defeito;Implantado;RC010 - Gestão de perdas  CAIXA;SITOP - Apresentação e exportação ocorrências Pesquisa Avançada - ERRO;SITOP;Risco, Compliance e Adimplência;Sem Atuação da GEQTI;Q1;Eduardo Almeida Nunes;45769;45775;1
23058204;Defeito;Implantado;CD041 - Corregedoria;SIDIS (Sistema Disciplinar) - Configuração de ClientID para o módulo de Acesso Externo;SIDIS;Clientes;Sem Atuação da GEQTI;Q1;Sergio Zanetoni Junior;45769;45775;1
23058161;Defeito;Aceito;AC007 - Arrecadação Iniciativa Privada;SICAP JAVA - GEPUB - Cancelamento qrcode;SICAP;Arrecadação e Convênios;Sem Atuação da GEQTI;Q4;Douglas Novais Teixeira;45769;;1
23057930;Defeito;Novo;AI007 - Entrada de Dados e Parâmetros;BEMPF04 - Erro na inclusão de IQ na tela VEC - REQ000139072125;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Daniel Machado Evangelista;45769;;1
23057893;Defeito;Pronto;CA018 - Auto Atendimento 2;SIMOC - análise de erro nos logs de PRD (Processamento de Logs);SIMOC;Canais Físicos;Sem Atuação da GEQTI;Q1;Elson Massahaki Oka;45769;;1
23057809;Defeito;Implantado;BF021 - SIMOV - LEGADO;SIMOV legado - ajustes na rotina dos leilões SFI;SIMOV;Box Moradia PF;Sem Atuação da GEQTI;Q1;Reginaldo Viana de Souza;45769;45770;1
23057632;Defeito;Aceito;DC020 - Squad 3 - TLegado - SIDMF;GEFAC03: Erro na apresentação do campo 8 no Informe de Rendimentos do IBC (continuação IB 22788693);SIDMF;Depósitos e Captação;Sem Atuação da GEQTI;Q2;Luana Bassani Evaristo;45769;;1
23057543;Defeito;Pronto;AI002 - Ativo, Passivo, FAR e Suporte Negócio;BEMPF28 - CONTRATO SUBROGADO EXCLUÍDO - item de backlog 22475594;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Samira de Gois;45769;;1
