ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
22729867;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""super sete"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;07/03/2025;1
22730097;Teste Funcional;Implantado;DC009 - Squad 4 Sustentação - LCR - NSGD BR;Contratação PF - Consultar Contrato - O sistema não realiza consulta de contratação PF no mês da contratação;SILCR;Depósitos e Captação;Certificação;Q3;Luize Maria Correia Torres;12/02/2025;17/03/2025;1
22730422;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""timemania"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
22730445;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Detalhe de aposta tela de ""Resgate"" modalidade ""super sete"", com a situação premiada está com as cores invertidas";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;20/02/2025;1
22732343;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Detalhe de aposta tela de ""Resgate"" modalidade ""timemania"", com a situação premiada está com as cores invertidas";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;21/02/2025;1
22732455;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Carrossel de apostas individuais,  botão ""Aposte"" somente a ""timemania"" vai ter a cor de texto";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;20/02/2025;1
22732477;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Carrossel de apostas individuais, trevo da modalidade ""timemania"" está na cor errada";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;20/02/2025;1
22732553;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - versão 1.17.0 - Carrossel de apostas individuais,  botão ""Aposte"" somente a ""timemania"" vai ter a cor de texto";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;18/02/2025;1
22732670;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Filtro minhas apostas cor do trevo minhas apostas está na cor incorreta;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;19/02/2025;1
22732862;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android - versão 1.17.0 - Filtro minhas apostas cor do trevo minhas apostas está na cor incorreta;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;18/02/2025;1
